date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:32:19	8511/8511	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:32:16%20GMT	http://paydaymods.com/mods/279/autodiscardparachute	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/279/autodiscardparachute.html	(from http://paydaymods.com/mods/)
14:32:20	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2007%20Feb%202020%2014:32:17%20GMT	https://i.imgur.com/PRkHWyH.png	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/i.imgur.com/PRkHWyH.2c.delayed	(from http://paydaymods.com/mods/)
14:32:20	9891/9891	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:32:17%20GMT	http://paydaymods.com/mods/237/badasscamera	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/237/badasscamera.html	(from http://paydaymods.com/mods/)
14:32:21	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2007%20Feb%202020%2014:32:18%20GMT	https://i.imgur.com/l9inACV.jpg	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/i.imgur.com/l9inACV.2e.delayed	(from http://paydaymods.com/mods/)
14:32:22	10686/10686	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:32:18%20GMT	http://paydaymods.com/mods/85/BC	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/85/BC.html	(from http://paydaymods.com/mods/)
14:32:22	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2007%20Feb%202020%2014:32:19%20GMT	http://i.imgur.com/8vBKwrL.png	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/i.imgur.com/8vBKwrL.30.delayed	(from http://paydaymods.com/mods/)
14:32:22	859/859	---M--	200	added ('OK')	application/javascript	date:Fri,%2007%20Feb%202020%2014:32:19%20GMT	https://www.youtube.com/player_api	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/www.youtube.com/player_api	(from http://paydaymods.com/mods/)
14:32:23	9746/9746	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:32:20%20GMT	http://paydaymods.com/mods/159/bainchatter	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/159/bainchatter.html	(from http://paydaymods.com/mods/)
14:32:23	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2007%20Feb%202020%2014:32:20%20GMT	https://i.imgur.com/7yv38ri.png	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/i.imgur.com/7yv38ri.33.delayed	(from http://paydaymods.com/mods/)
14:32:24	8159/8159	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:32:20%20GMT	http://paydaymods.com/mods/533/banghud	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/533/banghud.html	(from http://paydaymods.com/mods/)
14:32:24	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2007%20Feb%202020%2014:32:21%20GMT	https://i.imgur.com/7TmZnTF.jpg	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/i.imgur.com/7TmZnTF.35.delayed	(from http://paydaymods.com/mods/)
14:32:24	0/-1	---M--	302	error ('')			http://i.imgur.com/3G3kXgS.png	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/i.imgur.com/3G3kXgS.37.delayed	(from http://paydaymods.com/mods/)
14:32:24	9795/9795	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:32:21%20GMT	http://paydaymods.com/mods/144/basicvoices	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/144/basicvoices.html	(from http://paydaymods.com/mods/)
14:32:25	3908/3908	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:32:21%20GMT	http://paydaymods.com/cdn-cgi/l/email-protection	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/cdn-cgi/l/email-protection.html	(from http://paydaymods.com/mods/)
14:32:25	0/-1	---M--	302	error ('')			http://i.imgur.com/3G3kXgS.png	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/i.imgur.com/3G3kXgS.39.delayed	(from http://paydaymods.com/mods/)
14:32:25	10940/10940	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:32:22%20GMT	http://paydaymods.com/mods/447/	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/447/index.html	(from http://paydaymods.com/mods/)
14:32:26	10884/10884	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:32:22%20GMT	http://paydaymods.com/mods/108/BB	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/108/BB.html	(from http://paydaymods.com/mods/)
14:32:27	13817/13817	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:32:23%20GMT	http://paydaymods.com/mods/624/BTW	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/624/BTW.html	(from http://paydaymods.com/mods/)
14:32:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2007%20Feb%202020%2014:32:24%20GMT	https://imgur.com/TSfC9MP.png	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/imgur.com/TSfC9MP.3d.delayed	(from http://paydaymods.com/mods/)
14:32:28	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2007%20Feb%202020%2014:32:25%20GMT	https://i.imgur.com/TSfC9MP.png	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/i.imgur.com/TSfC9MP.3e.delayed	(from http://paydaymods.com/mods/)
14:32:29	14545/14545	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:32:25%20GMT	http://paydaymods.com/mods/370/blackmarketpersistentnames	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/370/blackmarketpersistentnames.html	(from http://paydaymods.com/mods/)
14:32:29	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2007%20Feb%202020%2014:32:26%20GMT	https://i.imgur.com/WWygBBl.png	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/i.imgur.com/WWygBBl.40.delayed	(from http://paydaymods.com/mods/)
14:32:30	9867/9867	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:32:27%20GMT	http://paydaymods.com/mods/218/bmarketweapcustrevert	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/218/bmarketweapcustrevert.html	(from http://paydaymods.com/mods/)
14:32:30	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2007%20Feb%202020%2014:32:27%20GMT	https://i.imgur.com/bHWumI4.png	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/i.imgur.com/bHWumI4.42.delayed	(from http://paydaymods.com/mods/)
14:32:31	11291/11291	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:32:28%20GMT	http://paydaymods.com/mods/180/bot_weapons	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/180/bot_weapons.html	(from http://paydaymods.com/mods/)
14:32:31	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2007%20Feb%202020%2014:32:28%20GMT	https://i.imgur.com/nesJq4M.png	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/i.imgur.com/nesJq4M.44.delayed	(from http://paydaymods.com/mods/)
14:32:32	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2007%20Feb%202020%2014:32:29%20GMT	http://i.imgur.com/iiWaIlP.jpg	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/i.imgur.com/iiWaIlP.46.delayed	(from http://paydaymods.com/mods/)
14:32:32	10656/10656	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202020%2014:32:28%20GMT	http://paydaymods.com/mods/65/BDB	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/mods/65/BDB.html	(from http://paydaymods.com/mods/)
14:32:32	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3ac00c-4d7%22	http://paydaymods.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/Kythyria/Downloads/httrack-mirrors/paydaymods/paydaymods.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from http://paydaymods.com/mods/)
